bruinID.text,button.numClicks,button.timesOn,button.timesOff,mouseLogIn.x,mouseLogIn.y,mouseLogIn.leftButton,mouseLogIn.midButton,mouseLogIn.rightButton,mouseLogIn.time,mouseLogIn.clicked_name,repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,repeat.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,subjage_slider.response,subjage_slider.rt,confidence_scale.response,confidence_scale.rt,key_resp_7.keys,key_resp_7.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,email_type,scam_button.numClicks,scam_button.timesOn,scam_button.timesOff,legit_button.numClicks,legit_button.timesOn,legit_button.timesOff,button_selections_1,confidence_scale_email.response,confidence_scale_email.rt,personal_rel_scale.response,personal_rel_scale.rt,curiosity_scale.response,curiosity_scale.rt,email_loop.thisRepN,email_loop.thisTrialN,email_loop.thisN,email_loop.thisIndex,email_loop.ran,emails,type,xsize,ysize,xpos,ypos,key_resp_11.keys,key_resp_11.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,textbox.text,next_button.numClicks,next_button.timesOn,next_button.timesOff,key_resp_8.keys,key_resp_8.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_12.keys,key_resp_12.rt,button_3.numClicks,button_3.timesOn,button_3.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,button_4.numClicks,button_4.timesOn,button_4.timesOff,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,button_5.numClicks,button_5.timesOn,button_5.timesOff,email_loops2.thisRepN,email_loops2.thisTrialN,email_loops2.thisN,email_loops2.thisIndex,email_loops2.ran,key_resp_3.keys,key_resp_3.rt,slider1_2.response,slider1_2.rt,trust_question,loop_GT.thisRepN,loop_GT.thisTrialN,loop_GT.thisN,loop_GT.thisIndex,loop_GT.ran,Phrases,instructionresp_2.keys,instructionresp_2.rt,key_resp_13.keys,key_resp_13.rt,gen_question,loop_G.thisRepN,loop_G.thisTrialN,loop_G.thisN,loop_G.thisIndex,loop_G.ran,Questions,instructionresp.keys,instructionresp.rt,key_resp_2.keys,key_resp_2.rt,lonely_question,loop_LS.thisRepN,loop_LS.thisTrialN,loop_LS.thisN,loop_LS.thisIndex,loop_LS.ran,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,dementia_question,loop_dm.thisRepN,loop_dm.thisTrialN,loop_dm.thisN,loop_dm.thisIndex,loop_dm.ran,Items,key_resp.keys,key_resp.rt,slider1.response,slider1.rt,ss_question,loop_SS.thisRepN,loop_SS.thisTrialN,loop_SS.thisN,loop_SS.thisIndex,loop_SS.ran,Statements,slider.response,slider.rt,Gender,textboxAge.text,textboxBirthday.text,Education Level,Ethnicity,English Fluency,textboxAge_2.text,textboxCountry.text,FQ1textbox.text,textboxQuestion2.text,textboxQuestion3.text,FQ4 selection,Finish.numClicks,Finish.timesOn,Finish.timesOff
405701659,1,[19.559899999856945],[19.559999999999995],0.284917309,-0.099276441,1,0,0,19.4279,button,0,0,0,0,1,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,space,5.3902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,space,11.8214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,19.04330227,12.5683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,7.977039095,7.2146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,space,4.1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,,,1,[113.24509999990464],[113.24509999990464],,0,[],[],1,[114.75689999985696],[114.75689999985696],"[""legit_button""]",7.977039095,2.9234,2.985719253,139.645,2.995782469,3.9695,0,0,0,20,1,resources/images/scam_30.png,scam,1.45,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,,,2,"[113.24509999990464,305.6347999999523]","[113.24509999990464,305.63489999985694]",,0,[],[],2,"[114.75689999985696,306.666]","[114.75689999985696,306.6660999999046]","[""legit_button""]",9.033667156,2.0917,6.98078793,3.5575,5.92415747,2.3672,0,1,1,23,1,resources/images/scam_22.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,,,3,"[113.24509999990464,305.6347999999523,327.1186999998093]","[113.24509999990464,305.63489999985694,327.11879999995233]",,0,[],[],3,"[114.75689999985696,306.666,327.99969999980925]","[114.75689999985696,306.6660999999046,327.9997999999523]","[""legit_button""]",8.983353476,1.1359,4.93796952,3.899,1.908962761,1.4471,0,2,2,3,1,resources/images/legit_20.png,legit,0.9,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,,,4,"[113.24509999990464,305.6347999999523,327.1186999998093,367.3022999999523]","[113.24509999990464,305.63489999985694,327.11879999995233,367.30239999985696]",,1,[368.0515],[368.051600000143],3,"[114.75689999985696,306.666,327.99969999980925]","[114.75689999985696,306.6660999999046,327.9997999999523]","[""scam_button""]",6.024788828,2.9185,0.993216523,2.1001,0.993216523,0.6473,0,3,3,0,1,resources/images/scam8.jpg,scam,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,,,5,"[113.24509999990464,305.6347999999523,327.1186999998093,367.3022999999523,388.65639999985694]","[113.24509999990464,305.63489999985694,327.11879999995233,367.30239999985696,388.65639999985694]",,1,[368.0515],[368.051600000143],4,"[114.75689999985696,306.666,327.99969999980925,389.68699999999995]","[114.75689999985696,306.6660999999046,327.9997999999523,389.68699999999995]","[""legit_button""]",6.950598282,3.0947,1.033468986,2.0521,1.033468986,0.6179,0,4,4,18,1,resources/images/scam_20.png,scam,1.45,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,,,6,"[113.24509999990464,305.6347999999523,327.1186999998093,367.3022999999523,388.65639999985694,429.2366999998093]","[113.24509999990464,305.63489999985694,327.11879999995233,367.30239999985696,388.65639999985694,429.2366999998093]",,1,[368.0515],[368.051600000143],5,"[114.75689999985696,306.666,327.99969999980925,389.68699999999995,431.3858999998569]","[114.75689999985696,306.6660999999046,327.9997999999523,389.68699999999995,431.3858999998569]","[""legit_button""]",4.887654241,3.0709,0.791953406,4.1419,0.882521949,2.933,0,5,5,5,1,resources/images/legit12.jpg,legit,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,,,7,"[113.24509999990464,305.6347999999523,327.1186999998093,367.3022999999523,388.65639999985694,429.2366999998093,464.2707999999523]","[113.24509999990464,305.63489999985694,327.11879999995233,367.30239999985696,388.65639999985694,429.2366999998093,464.2707999999523]",,1,[368.0515],[368.051600000143],6,"[114.75689999985696,306.666,327.99969999980925,389.68699999999995,431.3858999998569,465.10369999980924]","[114.75689999985696,306.6660999999046,327.9997999999523,389.68699999999995,431.3858999998569,465.1037999999523]","[""legit_button""]",8.148112164,1.4904,6.044915259,2.3923,3.770644486,1.7204,0,6,6,7,1,resources/images/legit_21.png,legit,0.8,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,,,8,"[113.24509999990464,305.6347999999523,327.1186999998093,367.3022999999523,388.65639999985694,429.2366999998093,464.2707999999523,482.6735999999047]","[113.24509999990464,305.63489999985694,327.11879999995233,367.30239999985696,388.65639999985694,429.2366999998093,464.2707999999523,482.6736999998093]",,1,[368.0515],[368.051600000143],7,"[114.75689999985696,306.666,327.99969999980925,389.68699999999995,431.3858999998569,465.10369999980924,483.6907999999524]","[114.75689999985696,306.6660999999046,327.9997999999523,389.68699999999995,431.3858999998569,465.1037999999523,483.6907999999524]","[""legit_button""]",7.785838795,1.7308,2.140414725,2.2636,2.140414725,0.5823,0,7,7,9,1,resources/images/legit_22.png,legit,1,0.78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,,,9,"[113.24509999990464,305.6347999999523,327.1186999998093,367.3022999999523,388.65639999985694,429.2366999998093,464.2707999999523,482.6735999999047,503.2755000000001]","[113.24509999990464,305.63489999985694,327.11879999995233,367.30239999985696,388.65639999985694,429.2366999998093,464.2707999999523,482.6736999998093,503.2755000000001]",,1,[368.0515],[368.051600000143],8,"[114.75689999985696,306.666,327.99969999980925,389.68699999999995,431.3858999998569,465.10369999980924,483.6907999999524,504.0560999999047]","[114.75689999985696,306.6660999999046,327.9997999999523,389.68699999999995,431.3858999998569,465.1037999999523,483.6907999999524,504.0561999998093]","[""legit_button""]",5.934220685,1.6266,2.94546719,1.3155,1.516500145,0.9552,0,8,8,14,1,resources/images/scam18.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,,,10,"[113.24509999990464,305.6347999999523,327.1186999998093,367.3022999999523,388.65639999985694,429.2366999998093,464.2707999999523,482.6735999999047,503.2755000000001,514.4380000000001]","[113.24509999990464,305.63489999985694,327.11879999995233,367.30239999985696,388.65639999985694,429.2366999998093,464.2707999999523,482.6736999998093,503.2755000000001,514.4380000000001]",,1,[368.0515],[368.051600000143],9,"[114.75689999985696,306.666,327.99969999980925,389.68699999999995,431.3858999998569,465.10369999980924,483.6907999999524,504.0560999999047,515.1055000000001]","[114.75689999985696,306.6660999999046,327.9997999999523,389.68699999999995,431.3858999998569,465.1037999999523,483.6907999999524,504.0561999998093,515.1055000000001]","[""legit_button""]",7.141797783,0.9379,6.940535066,1.2015,3.488876044,1.0492,0,9,9,13,1,resources/images/legit15.jpg,legit,0.95,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,,,11,"[113.24509999990464,305.6347999999523,327.1186999998093,367.3022999999523,388.65639999985694,429.2366999998093,464.2707999999523,482.6735999999047,503.2755000000001,514.4380000000001,526.9545999999046]","[113.24509999990464,305.63489999985694,327.11879999995233,367.30239999985696,388.65639999985694,429.2366999998093,464.2707999999523,482.6736999998093,503.2755000000001,514.4380000000001,526.9546999998093]",,1,[368.0515],[368.051600000143],10,"[114.75689999985696,306.666,327.99969999980925,389.68699999999995,431.3858999998569,465.10369999980924,483.6907999999524,504.0560999999047,515.1055000000001,527.6720999999047]","[114.75689999985696,306.6660999999046,327.9997999999523,389.68699999999995,431.3858999998569,465.1037999999523,483.6907999999524,504.0561999998093,515.1055000000001,527.6720999999047]","[""legit_button""]",7.322934867,0.8344,4.475064793,1.3545,2.39199432,0.6815,0,10,10,2,1,resources/images/legit11.jpg,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,,,12,"[113.24509999990464,305.6347999999523,327.1186999998093,367.3022999999523,388.65639999985694,429.2366999998093,464.2707999999523,482.6735999999047,503.2755000000001,514.4380000000001,526.9545999999046,540.005899999857]","[113.24509999990464,305.63489999985694,327.11879999995233,367.30239999985696,388.65639999985694,429.2366999998093,464.2707999999523,482.6736999998093,503.2755000000001,514.4380000000001,526.9546999998093,540.0061999998093]",,2,"[368.0515,541.0208000001908]","[368.051600000143,541.0208000001908]",10,"[114.75689999985696,306.666,327.99969999980925,389.68699999999995,431.3858999998569,465.10369999980924,483.6907999999524,504.0560999999047,515.1055000000001,527.6720999999047]","[114.75689999985696,306.6660999999046,327.9997999999523,389.68699999999995,431.3858999998569,465.1037999999523,483.6907999999524,504.0561999998093,515.1055000000001,527.6720999999047]","[""scam_button""]",6.880155772,1.4083,3.800834134,0.6839,1.929088793,0.6753,0,11,11,21,1,resources/images/scam_23.png,scam,1,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,614601,001,2025-04-01_18h02.42.061,SLSI3,2022.2.5,Win32,59.88023952,,,,,,,,,,,13,"[113.24509999990464,305.6347999999523,327.1186999998093,367.3022999999523,388.65639999985694,429.2366999998093,464.2707999999523,482.6735999999047,503.2755000000001,514.4380000000001,526.9545999999046,540.005899999857,552.555399999857]","[113.24509999990464,305.63489999985694,327.11879999995233,367.30239999985696,388.65639999985694,429.2366999998093,464.2707999999523,482.6736999998093,503.2755000000001,514.4380000000001,526.9546999998093,540.0061999998093,552.555399999857]",,2,"[368.0515,541.0208000001908]","[368.051600000143,541.0208000001908]",11,"[114.75689999985696,306.666,327.99969999980925,389.68699999999995,431.3858999998569,465.10369999980924,483.6907999999524,504.0560999999047,515.1055000000001,527.6720999999047,553.3041999998094]","[114.75689999985696,306.6660999999046,327.9997999999523,389.68699999999995,431.3858999998569,465.1037999999523,483.6907999999524,504.0561999998093,515.1055000000001,527.6720999999047,553.3041999998094]","[""legit_button""]",8.681459402,1.8396,2.20079402,1.3158,2.20079402,0.4916,0,12,12,15,1,resources/images/legit16.jpg,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
