bruinID.text,button.numClicks,button.timesOn,button.timesOff,mouseLogIn.x,mouseLogIn.y,mouseLogIn.leftButton,mouseLogIn.midButton,mouseLogIn.rightButton,mouseLogIn.time,mouseLogIn.clicked_name,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,subjage_slider.response,subjage_slider.rt,confidence_scale.response,confidence_scale.rt,key_resp_7.keys,key_resp_7.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,email_type,scam_button.numClicks,scam_button.timesOn,scam_button.timesOff,legit_button.numClicks,legit_button.timesOn,legit_button.timesOff,button_selections_1,confidence_scale_email.response,confidence_scale_email.rt,personal_rel_scale.response,personal_rel_scale.rt,curiosity_scale.response,curiosity_scale.rt,email_loop.thisRepN,email_loop.thisTrialN,email_loop.thisN,email_loop.thisIndex,email_loop.ran,emails,type,xsize,ysize,xpos,ypos,key_resp_11.keys,key_resp_11.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,textbox.text,next_button.numClicks,next_button.timesOn,next_button.timesOff,key_resp_8.keys,key_resp_8.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_12.keys,key_resp_12.rt,button_3.numClicks,button_3.timesOn,button_3.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,button_4.numClicks,button_4.timesOn,button_4.timesOff,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,button_5.numClicks,button_5.timesOn,button_5.timesOff,email_loops2.thisRepN,email_loops2.thisTrialN,email_loops2.thisN,email_loops2.thisIndex,email_loops2.ran,key_resp_3.keys,key_resp_3.rt,slider1_2.response,slider1_2.rt,trust_question,loop_GT.thisRepN,loop_GT.thisTrialN,loop_GT.thisN,loop_GT.thisIndex,loop_GT.ran,Phrases,instructionresp_2.keys,instructionresp_2.rt,key_resp_13.keys,key_resp_13.rt,gen_question,loop_G.thisRepN,loop_G.thisTrialN,loop_G.thisN,loop_G.thisIndex,loop_G.ran,Questions,instructionresp.keys,instructionresp.rt,key_resp_2.keys,key_resp_2.rt,lonely_question,loop_LS.thisRepN,loop_LS.thisTrialN,loop_LS.thisN,loop_LS.thisIndex,loop_LS.ran,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,dementia_question,loop_dm.thisRepN,loop_dm.thisTrialN,loop_dm.thisN,loop_dm.thisIndex,loop_dm.ran,Items,key_resp.keys,key_resp.rt,slider1.response,slider1.rt,ss_question,loop_SS.thisRepN,loop_SS.thisTrialN,loop_SS.thisN,loop_SS.thisIndex,loop_SS.ran,Statements,slider.response,slider.rt,Gender,textboxAge.text,textboxBirthday.text,Education Level,Ethnicity,English Fluency,textboxAge_2.text,textboxCountry.text,FQ1textbox.text,textboxQuestion2.text,textboxQuestion3.text,FQ4 selection,Finish.numClicks,Finish.timesOn,Finish.timesOff
,,,,,,,,,,,,,2025-05-08_19h23.30.686,SLSI3_O,2022.2.5,Linux x86_64,59.88023952,,,,,,,,,,,5,"[128.53659999999405,195.29439999999852,279.706599999994,326.0731999999955,371.52289999999846]","[128.53669999999553,195.29439999999852,279.70669999999546,326.073299999997,371.52289999999846]",,3,"[130.46989999999852,197.9786000000015,372.52260000000143]","[130.46989999999852,197.97870000000302,372.52270000000294]",2,"[284.0006000000015,327.633]","[284.0006000000015,327.633]","[""scam_button""]",9.500822742,2.2602,2.310914891,4.0465,0.205083608,3.034,0,4,4,20,1,resources/images/scam_30.png,scam,1.45,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2025-05-08_19h23.30.686,SLSI3_O,2022.2.5,Linux x86_64,59.88023952,,,,,,,,,,,6,"[128.53659999999405,195.29439999999852,279.706599999994,326.0731999999955,371.52289999999846,425.07499999999993]","[128.53669999999553,195.29439999999852,279.70669999999546,326.073299999997,371.52289999999846,425.07499999999993]",,4,"[130.46989999999852,197.9786000000015,372.52260000000143,426.22410000000144]","[130.46989999999852,197.97870000000302,372.52270000000294,426.22420000000295]",2,"[284.0006000000015,327.633]","[284.0006000000015,327.633]","[""scam_button""]",9.970122484,1.7602,0.054667121,3.1085,0.728533008,2.663,0,5,5,12,1,resources/images/scam17.png,scam,0.8,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2025-05-08_19h23.30.686,SLSI3_O,2022.2.5,Linux x86_64,59.88023952,,,,,,,,,,,7,"[128.53659999999405,195.29439999999852,279.706599999994,326.0731999999955,371.52289999999846,425.07499999999993,477.4795]","[128.53669999999553,195.29439999999852,279.70669999999546,326.073299999997,371.52289999999846,425.07499999999993,477.479599999994]",,5,"[130.46989999999852,197.9786000000015,372.52260000000143,426.22410000000144,478.20920000000297]","[130.46989999999852,197.97870000000302,372.52270000000294,426.22420000000295,478.20920000000297]",2,"[284.0006000000015,327.633]","[284.0006000000015,327.633]","[""scam_button""]",9.921989666,1.8269,0.132883666,2.1915,0.030600712,0.8827,0,6,6,6,1,resources/images/legit13.jpg,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2025-05-08_19h23.30.686,SLSI3_O,2022.2.5,Linux x86_64,59.88023952,,,,,,,,,,,8,"[128.53659999999405,195.29439999999852,279.706599999994,326.0731999999955,371.52289999999846,425.07499999999993,477.4795,539.7485999999941]","[128.53669999999553,195.29439999999852,279.70669999999546,326.073299999997,371.52289999999846,425.07499999999993,477.479599999994,539.7485999999941]",,5,"[130.46989999999852,197.9786000000015,372.52260000000143,426.22410000000144,478.20920000000297]","[130.46989999999852,197.97870000000302,372.52270000000294,426.22420000000295,478.20920000000297]",3,"[284.0006000000015,327.633,540.7913999999985]","[284.0006000000015,327.633,540.7913999999985]","[""legit_button""]",8.291473297,2.3592,0.024583872,4.3467,0.126867302,1.6943,0,7,7,23,1,resources/images/scam_22.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2025-05-08_19h23.30.686,SLSI3_O,2022.2.5,Linux x86_64,59.88023952,,,,,,,,,,,9,"[128.53659999999405,195.29439999999852,279.706599999994,326.0731999999955,371.52289999999846,425.07499999999993,477.4795,539.7485999999941,584.5152999999971]","[128.53669999999553,195.29439999999852,279.70669999999546,326.073299999997,371.52289999999846,425.07499999999993,477.479599999994,539.7485999999941,584.5152999999971]",,6,"[130.46989999999852,197.9786000000015,372.52260000000143,426.22410000000144,478.20920000000297,585.6468999999985]","[130.46989999999852,197.97870000000302,372.52270000000294,426.22420000000295,478.20920000000297,585.647]",3,"[284.0006000000015,327.633,540.7913999999985]","[284.0006000000015,327.633,540.7913999999985]","[""scam_button""]",9.946055122,1.0943,0.066700803,1.5271,0.132883666,0.8252,0,8,8,10,1,resources/images/scam15.jpg,scam,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2025-05-08_19h23.30.686,SLSI3_O,2022.2.5,Linux x86_64,59.88023952,,,,,,,,,,,10,"[128.53659999999405,195.29439999999852,279.706599999994,326.0731999999955,371.52289999999846,425.07499999999993,477.4795,539.7485999999941,584.5152999999971,631.7656999999955]","[128.53669999999553,195.29439999999852,279.70669999999546,326.073299999997,371.52289999999846,425.07499999999993,477.479599999994,539.7485999999941,584.5152999999971,631.7657999999971]",,7,"[130.46989999999852,197.9786000000015,372.52260000000143,426.22410000000144,478.20920000000297,585.6468999999985,632.4802999999971]","[130.46989999999852,197.97870000000302,372.52270000000294,426.22420000000295,478.20920000000297,585.647,632.4802999999971]",3,"[284.0006000000015,327.633,540.7913999999985]","[284.0006000000015,327.633,540.7913999999985]","[""scam_button""]",9.831738726,3.3104,0.078733769,7.362,0.030600712,1.6977,0,9,9,0,1,resources/images/scam8.jpg,scam,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2025-05-08_19h23.30.686,SLSI3_O,2022.2.5,Linux x86_64,59.88023952,,,,,,,,,,,11,"[128.53659999999405,195.29439999999852,279.706599999994,326.0731999999955,371.52289999999846,425.07499999999993,477.4795,539.7485999999941,584.5152999999971,631.7656999999955,669.4618999999985]","[128.53669999999553,195.29439999999852,279.70669999999546,326.073299999997,371.52289999999846,425.07499999999993,477.479599999994,539.7485999999941,584.5152999999971,631.7657999999971,669.462]",,8,"[130.46989999999852,197.9786000000015,372.52260000000143,426.22410000000144,478.20920000000297,585.6468999999985,632.4802999999971,670.1105]","[130.46989999999852,197.97870000000302,372.52270000000294,426.22420000000295,478.20920000000297,585.647,632.4802999999971,670.1106000000016]",3,"[284.0006000000015,327.633,540.7913999999985]","[284.0006000000015,327.633,540.7913999999985]","[""scam_button""]",9.891905702,1.6939,0.030600712,1.4479,0.096783814,0.8933,0,10,10,4,1,resources/images/legit_19.png,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2025-05-08_19h23.30.686,SLSI3_O,2022.2.5,Linux x86_64,59.88023952,,,,,,,,,,,12,"[128.53659999999405,195.29439999999852,279.706599999994,326.0731999999955,371.52289999999846,425.07499999999993,477.4795,539.7485999999941,584.5152999999971,631.7656999999955,669.4618999999985,697.6385]","[128.53669999999553,195.29439999999852,279.70669999999546,326.073299999997,371.52289999999846,425.07499999999993,477.479599999994,539.7485999999941,584.5152999999971,631.7657999999971,669.462,697.6385]",,9,"[130.46989999999852,197.9786000000015,372.52260000000143,426.22410000000144,478.20920000000297,585.6468999999985,632.4802999999971,670.1105,698.3376000000015]","[130.46989999999852,197.97870000000302,372.52270000000294,426.22420000000295,478.20920000000297,585.647,632.4802999999971,670.1106000000016,698.3376000000015]",3,"[284.0006000000015,327.633,540.7913999999985]","[284.0006000000015,327.633,540.7913999999985]","[""scam_button""]",9.952071724,1.7473,0.229150255,1.9773,0.108817257,0.8919,0,11,11,5,1,resources/images/legit12.jpg,legit,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2025-05-08_19h23.30.686,SLSI3_O,2022.2.5,Linux x86_64,59.88023952,,,,,,,,,,,13,"[128.53659999999405,195.29439999999852,279.706599999994,326.0731999999955,371.52289999999846,425.07499999999993,477.4795,539.7485999999941,584.5152999999971,631.7656999999955,669.4618999999985,697.6385,727.6983999999985]","[128.53669999999553,195.29439999999852,279.70669999999546,326.073299999997,371.52289999999846,425.07499999999993,477.479599999994,539.7485999999941,584.5152999999971,631.7657999999971,669.462,697.6385,727.6985]",,10,"[130.46989999999852,197.9786000000015,372.52260000000143,426.22410000000144,478.20920000000297,585.6468999999985,632.4802999999971,670.1105,698.3376000000015,728.3975]","[130.46989999999852,197.97870000000302,372.52270000000294,426.22420000000295,478.20920000000297,585.647,632.4802999999971,670.1106000000016,698.3376000000015,728.3976000000015]",3,"[284.0006000000015,327.633,540.7913999999985]","[284.0006000000015,327.633,540.7913999999985]","[""scam_button""]",9.964105882,1.4441,0.102800654,1.426,0.090767212,0.6809,0,12,12,15,1,resources/images/legit16.jpg,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2025-05-08_19h23.30.686,SLSI3_O,2022.2.5,Linux x86_64,59.88023952,,,,,,,,,,,14,"[128.53659999999405,195.29439999999852,279.706599999994,326.0731999999955,371.52289999999846,425.07499999999993,477.4795,539.7485999999941,584.5152999999971,631.7656999999955,669.4618999999985,697.6385,727.6983999999985,745.7880999999941]","[128.53669999999553,195.29439999999852,279.70669999999546,326.073299999997,371.52289999999846,425.07499999999993,477.479599999994,539.7485999999941,584.5152999999971,631.7657999999971,669.462,697.6385,727.6985,745.7881999999955]",,11,"[130.46989999999852,197.9786000000015,372.52260000000143,426.22410000000144,478.20920000000297,585.6468999999985,632.4802999999971,670.1105,698.3376000000015,728.3975,746.504]","[130.46989999999852,197.97870000000302,372.52270000000294,426.22420000000295,478.20920000000297,585.647,632.4802999999971,670.1106000000016,698.3376000000015,728.3976000000015,746.504]",3,"[284.0006000000015,327.633,540.7913999999985]","[284.0006000000015,327.633,540.7913999999985]","[""scam_button""]",9.915972111,1.1898,0.078733769,0.9279,0.060683962,0.6981,0,13,13,19,1,resources/images/scam_21.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
